"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"emil","2010-07-14 21:20:00.000","140.817","-10.768","FALSE"
"emil","2010-07-14 22:14:00.000","140.803","-10.772","FALSE"
"emil","2010-07-14 23:36:00.000","140.777","-10.776","FALSE"
"emil","2010-07-15 05:20:00.000","140.747","-10.717","FALSE"
"emil","2010-07-15 05:28:00.000","140.709","-10.728","TRUE"
"emil","2010-07-15 05:48:00.000","140.721","-10.705","FALSE"
"emil","2010-07-15 09:57:00.000","140.742","-10.666","FALSE"
"emil","2010-07-15 10:44:00.000","140.735","-10.664","FALSE"
"emil","2010-07-15 12:10:00.000","140.722","-10.659","FALSE"
"emil","2010-07-15 12:24:00.000","140.716","-10.661","FALSE"
"emil","2010-07-15 13:50:00.000","140.703","-10.65","FALSE"
"emil","2010-07-15 14:51:00.000","140.687","-10.646","FALSE"
"emil","2010-07-15 15:00:00.000","140.683","-10.643","FALSE"
"emil","2010-07-15 16:31:00.000","140.679","-10.633","FALSE"
"emil","2010-07-15 16:40:00.000","140.679","-10.632","FALSE"
"emil","2010-07-15 18:32:00.000","140.69","-10.629","FALSE"
"emil","2010-07-15 20:12:00.000","140.698","-10.632","FALSE"
"emil","2010-07-16 05:22:00.000","140.58","-10.6","FALSE"
"emil","2010-07-16 09:45:00.000","140.617","-10.545","FALSE"
"emil","2010-07-16 10:22:00.000","140.614","-10.545","FALSE"
"emil","2010-07-16 11:44:00.000","140.244","-10.394","TRUE"
"emil","2010-07-17 00:46:00.000","140.59","-10.542","FALSE"
"emil","2010-07-17 03:31:00.000","140.5","-10.513","FALSE"
"emil","2010-07-17 05:11:00.000","140.513","-10.503","FALSE"
"emil","2010-07-17 08:21:00.000","140.513","-10.475","FALSE"
"emil","2010-07-17 09:58:00.000","140.533","-10.462","FALSE"
"emil","2010-07-17 13:07:00.000","140.512","-10.442","FALSE"
"emil","2010-07-17 14:30:00.000","140.481","-10.443","FALSE"
"emil","2010-07-17 16:11:00.000","140.429","-10.42","TRUE"
"emil","2010-07-17 16:20:00.000","140.453","-10.424","FALSE"
"emil","2010-07-17 17:44:00.000","140.438","-10.401","FALSE"
"emil","2010-07-17 19:24:00.000","140.429","-10.396","FALSE"
"emil","2010-07-17 20:44:00.000","140.444","-10.388","FALSE"
"emil","2010-07-17 22:37:00.000","140.432","-10.382","FALSE"
"emil","2010-07-17 22:43:00.000","140.44","-10.379","FALSE"
"emil","2010-07-18 00:21:00.000","140.439","-10.371","FALSE"
"emil","2010-07-18 04:49:00.000","140.35","-10.354","FALSE"
"emil","2010-07-18 04:56:00.000","140.348","-10.351","FALSE"
"emil","2010-07-18 09:22:00.000","140.345","-10.3","FALSE"
"emil","2010-07-18 11:01:00.000","140.366","-10.298","FALSE"
"emil","2010-07-18 11:08:00.000","140.37","-10.293","FALSE"
"emil","2010-07-18 11:14:00.000","140.369","-10.296","FALSE"
"emil","2010-07-18 12:47:00.000","140.355","-10.295","FALSE"
"emil","2010-07-18 12:53:00.000","140.343","-10.286","TRUE"
"emil","2010-07-18 16:00:00.000","140.292","-10.277","FALSE"
"emil","2010-07-18 16:08:00.000","140.289","-10.279","FALSE"
"emil","2010-07-18 17:42:00.000","140.263","-10.26","FALSE"
"emil","2010-07-18 17:51:00.000","140.272","-10.277","TRUE"
"emil","2010-07-18 19:00:00.000","140.257","-10.246","FALSE"
"emil","2010-07-18 20:32:00.000","140.247","-10.225","FALSE"
"emil","2010-07-19 07:35:00.000","140.203","-10.134","FALSE"
"emil","2010-07-19 09:10:00.000","140.213","-10.117","FALSE"
"emil","2010-07-19 10:47:00.000","140.222","-10.113","FALSE"
"emil","2010-07-19 10:49:00.000","140.219","-10.11","TRUE"
"emil","2010-07-19 10:51:00.000","140.224","-10.111","FALSE"
"emil","2010-07-19 12:27:00.000","140.22","-10.113","FALSE"
"emil","2010-07-19 12:31:00.000","140.217","-10.111","FALSE"
"emil","2010-07-19 15:50:00.000","140.159","-10.107","FALSE"
